,Gene.name,First.Protein.Description,Intensity.M_1,Intensity.M_2,Intensity.M_3,Intensity.2D_1,Intensity.2D_2,Intensity.2D_3
34,ABCB9,ATP binding cassette subfamily B member 9,0,0,0,0,138000,93200
35,ABCC1,Multidrug resistance-associated protein 1,2820000,3470000,5730000,15600000,11300000,13800000
36,ABCC10,ABC-type glutathione-S-conjugate transporter,0,0,3590000,848000,0,0
37,ABCC10,ATP binding cassette subfamily C member 10,140000,203000,0,126000,262000,435000
38,ABCC2,ABC-type glutathione-S-conjugate transporter,5700000,3420000,4630000,0,158000,0
39,ABCC3,ABC-type glutathione-S-conjugate transporter,4270000,4410000,5180000,1850000,2410000,1920000
40,ABCC4,ATP binding cassette subfamily C member 4,12500000,1.60E+07,18300000,8650000,9170000,7050000
41,ABCC5,ATP binding cassette subfamily C member 5,977000,1730000,1310000,3850000,3210000,4080000
42,ABCD1,ATP binding cassette subfamily D member 1,0,0,0,0,0,0
43,ABCD3,ATP binding cassette subfamily D member 3,0,128000,0,0,769000,0
44,ABCE1,ATP binding cassette subfamily E member 1,8340000,8190000,10300000,11700000,15300000,11100000
45,ABCF1,ATP binding cassette subfamily F member 1,2280000,3130000,2730000,2930000,3580000,1680000
46,ABCF2,Uncharacterized protein,2550000,3910000,2320000,4530000,6100000,4060000
47,ABCF3,ATP binding cassette subfamily F member 3,789000,1120000,0,1400000,939000,895000
48,ABHD10,"Abhydrolase domain containing 10, depalmitoylase",0,0,0,0,0,0
49,ABHD11,Abhydrolase domain containing 11,0,0,0,0,0,0
50,ABHD12,Lysophosphatidylserine lipase ABHD12,199000,375000,0,452000,538000,275000
51,ABHD12,Lysophosphatidylserine lipase ABHD12,646000,952000,1020000,1380000,1140000,743000
52,ABHD12,Lysophosphatidylserine lipase ABHD12,1280000,1530000,0,1500000,2630000,0
53,ABHD13,Abhydrolase domain containing 13,71100,180000,0,0,0,0
54,ABHD14B,Abhydrolase domain containing 14B,16400000,12800000,1.70E+07,8610000,6290000,8800000
55,ABHD16A,"Abhydrolase domain containing 16A, phospholipase",0,0,0,0,0,0
56,ABHD16A,Phosphatidylserine lipase ABHD16A,0,0,0,0,0,0
57,ABHD16A,Phosphatidylserine lipase ABHD16A,0,153000,0,434000,633000,719000
58,ABHD16A,Phosphatidylserine lipase ABHD16A,0,0,0,0,0,0
59,ABHD17A,"Abhydrolase domain containing 17A, depalmitoylase",1460000,1640000,1350000,0,0,0
60,ABHD17A,"Abhydrolase domain containing 17C, depalmitoylase",496000,0,0,0,0,0
61,ABHD17B,"Abhydrolase domain containing 17B, depalmitoylase",1630000,2.00E+06,3600000,2180000,972000,2500000
62,ABHD17C,"Abhydrolase domain containing 17C, depalmitoylase",1410000,1600000,1690000,0,355000,0
63,ABHD4,"Abhydrolase domain containing 4, N-acyl phospholipase B",577000,635000,510000,1370000,778000,1170000
64,ABHD5,"Abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",0,0,0,0,0,0
65,ABHD6,"Abhydrolase domain containing 6, acylglycerol lipase",134000,0,0,299000,4.00E+05,106000
66,ABI1,Abl interactor 1,74500000,73300000,45900000,41400000,3.40E+07,52700000
67,ABI1,Abl interactor 1,21500000,24900000,21600000,14900000,1.30E+07,17800000
68,ABI2,Abl interactor 2,14100000,12600000,22900000,13400000,13700000,20200000
69,ABL1,Tyrosine-protein kinase,0,553000,1350000,676000,517000,619000
70,ABL1,Tyrosine-protein kinase,161000,126000,189000,180000,111000,252000
71,ABL2,Tyrosine-protein kinase,0,1330000,0,917000,1080000,1310000
72,ABLIM1,Actin binding LIM protein 1,734000,402000,755000,0,0,0
73,ABLIM2,Actin binding LIM protein family member 2,0,0,0,0,0,0
74,ABLIM3,Actin binding LIM protein family member 3,810000,702000,0,0,0,0
75,ABR,Active breakpoint cluster region-related protein,2110000,2020000,0,2210000,4040000,1770000
76,ABR,Active breakpoint cluster region-related protein,6380000,6540000,5560000,9310000,1.10E+07,8970000
77,ABRACL,Costars family protein ABRACL,6710000,4180000,0,4840000,4350000,6470000
78,ABRAXAS2,"Abraxas 2, BRISC complex subunit",312000,295000,1330000,581000,781000,486000
79,ABTB2,Ankyrin repeat and BTB domain containing 2,537000,412000,0,366000,227000,325000
80,ACAA1,Acetyl-CoA acyltransferase 1,173000,248000,0,2250000,2210000,1380000
81,ACAA2,Acetyl-CoA acyltransferase 2,0,1870000,0,1080000,1910000,430000
82,ACACA,Acetyl-CoA carboxylase 1,753000,936000,802000,3780000,5690000,2900000
83,ACACA,Acetyl-CoA carboxylase 1,1330000,737000,775000,2330000,2890000,1470000
84,ACACB,Acetyl-CoA carboxylase,0,0,0,0,61200,0
85,ACAD10,APH domain-containing protein,0,0,0,0,0,0
86,ACAD11,Acyl-CoA dehydrogenase family member 11,0,0,0,1260000,1820000,799000
87,ACAD8,Acyl-CoA dehydrogenase family member 8,0,0,0,0,523000,0
88,ACAD9,Acyl-CoA dehydrogenase family member 9,0,0,0,0,573000,0
89,ACADL,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial",0,0,0,633000,0,0
90,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",0,0,0,846000,2260000,0
91,ACADS,Acyl-CoA dehydrogenase short chain,0,0,0,0,631000,0
92,ACADSB,Acyl-CoA dehydrogenase short/branched chain,0,0,0,0,194000,0
93,ACADVL,Acyl-CoA dehydrogenase very long chain,0,675000,0,664000,1160000,0
94,ACAN,Aggrecan core protein,0,394000,0,0,1210000,336000
95,ACAP2,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein",1620000,1270000,885000,1720000,2830000,2.00E+06
96,ACAT1,Acetyl-CoA acetyltransferase 1,742000,611000,0,948000,2120000,0
97,ACAT2,Acetyl-CoA acetyltransferase 2,1.10E+07,15100000,1.07E+08,15200000,15600000,11600000
98,ACBD3,Acyl-CoA binding domain containing 3,1490000,1200000,2290000,2530000,2130000,2150000
99,ACBD5,Acyl-CoA-binding domain-containing protein 5,0,0,0,295000,126000,0
100,ACBD6,Acyl-CoA-binding domain-containing protein 6,207000,282000,0,387000,411000,118000
101,ACD,ACD shelterin complex subunit and telomerase recruitment factor,0,0,0,0,0,0
102,ACE2,Angiotensin converting enzyme 2,2250000,1700000,2510000,0,0,0
103,ACIN1,Apoptotic chromatin condensation inducer 1,277000,0,0,0,236000,0
104,ACKR3,Atypical chemokine receptor 3,346000,58500,0,0,0,0
105,ACLY,ATP-citrate synthase,20600000,2.60E+07,24900000,27900000,42500000,24900000
106,ACO1,Cytoplasmic aconitate hydratase,19300000,17300000,25500000,28200000,24300000,21400000
107,ACO2,"Aconitate hydratase, mitochondrial",413000,542000,446000,2240000,3620000,1590000
108,ACOT11,Acyl-CoA thioesterase 11,398000,325000,0,46400,0,0
109,ACOT13,Acyl-CoA thioesterase 13,0,0,0,0,0,0
110,ACOT6,Acyl-CoA thioesterase 6,0,0,0,0,0,0
111,ACOT6,Acyl-CoA thioesterase 6,0,0,0,0,0,0
112,ACOT6,Acyl-CoA thioesterase 6,0,0,0,0,0,0
113,ACOT7,Acyl-CoA thioesterase 7,7220000,8900000,6640000,21800000,22300000,18400000
114,ACOT8,Acyl-CoA thioesterase 8,0,0,0,0,409000,0
115,ACOT9,Acyl-CoA thioesterase 9,0,0,0,0,1280000,452000
116,ACOX1,Acyl-coenzyme A oxidase,0,0,0,783000,1200000,529000
117,ACOX3,"Acyl-CoA oxidase 3, pristanoyl",0,0,0,0,0,0
118,ACOX3,Acyl-coenzyme A oxidase,0,0,0,0,0,0
119,ACOX3,Acyl-coenzyme A oxidase,0,0,0,0,485000,0
120,ACP1,Low molecular weight phosphotyrosine protein phosphatase,1820000,1490000,470000,1580000,1830000,1450000
121,ACP1,Low molecular weight phosphotyrosine protein phosphatase,26300000,28800000,18900000,26300000,29300000,25200000
122,ACP1,Low molecular weight phosphotyrosine protein phosphatase,2630000,2030000,1140000,1090000,874000,1140000
123,ACP2,"Acid phosphatase 2, lysosomal",4680000,4680000,8850000,8240000,7390000,11900000
124,ACP5,Tartrate-resistant acid phosphatase type 5,811000,973000,1820000,460000,526000,329000
125,ACP6,"Acid phosphatase 6, lysophosphatidic",797000,869000,2070000,0,0,0
126,ACSF2,Acyl-CoA synthetase family member 2,0,0,0,0,0,0
127,ACSF2,Acyl-CoA synthetase family member 2,0,0,0,0,0,0
128,ACSF2,Acyl-CoA synthetase family member 2,0,0,0,0,0,0
129,ACSF3,Acyl-CoA synthetase family member 3,0,0,0,0,0,0
130,ACSL1,Acyl-CoA synthetase long chain family member 1,844000,1090000,1310000,1680000,2350000,1290000
131,ACSL3,AMP-binding domain-containing protein,37600000,36800000,29800000,9870000,13700000,11700000
132,ACSL3,AMP-binding domain-containing protein,875000,1130000,1230000,2980000,4880000,2540000
133,ACSL4,Acyl-CoA synthetase long chain family member 4,4.40E+07,36600000,29900000,9920000,12800000,11300000
134,ACSS1,Acetyl-coenzyme A synthetase,381000,543000,0,791000,735000,0
135,ACSS2,Propionate--CoA ligase,4180000,3260000,2680000,14200000,22800000,11700000
136,ACTA1,"Actin alpha 1, skeletal muscle",5.55E+08,4.86E+08,24800000,4.63E+08,4.48E+08,3.96E+08
137,ACTB,"Actin, cytoplasmic 1",6.11E+09,5.26E+09,4.58E+09,2.97E+09,4.28E+09,3.12E+09
138,ACTBL2,Actin beta like 2,7.09E+08,8.50E+08,4.70E+08,3.35E+08,4.67E+08,1.64E+08
139,ACTG2,"Actin gamma 2, smooth muscle",0,9370000,0,0,0,3090000
140,ACTL6A,Actin like 6A,3200000,2650000,3400000,4270000,5930000,2270000
141,ACTN1,Actinin alpha 1,0,0,186000,0,0,0
142,ACTN1,Actinin alpha 1,19800000,21100000,24400000,3.70E+07,26100000,27700000
143,ACTN1,Actinin alpha 1,1430000,7240000,0,2130000,0,3080000
144,ACTN1,Actinin alpha 1,63400000,48800000,1.55E+08,89100000,88800000,97200000
145,ACTN1,Actinin alpha 1,3.50E+07,31300000,35900000,45200000,35500000,39900000
146,ACTN1,Actinin alpha 1,43600000,52200000,15700000,36900000,57700000,37400000
147,ACTN1,Actinin alpha 1,37800000,40700000,38300000,69800000,6.50E+07,59500000
148,ACTN1,Actinin alpha 1,636000,1310000,1070000,3570000,2050000,1760000
149,ACTN2,Actinin alpha 2,0,0,4770000,0,57700,0
150,ACTN2,Actinin alpha 4,2590000,1540000,0,4860000,4900000,4480000
151,ACTN4,Actinin alpha 4,3.70E+07,40300000,0,25900000,26100000,2.10E+07
152,ACTN4,Actinin alpha 4,49800000,53400000,59600000,50300000,40400000,45100000
153,ACTN4,Actinin alpha 4,2280000,450000,0,213000,536000,58300
154,ACTN4,Galectin,1540000,1540000,2230000,2660000,1710000,741000
155,ACTR10,Actin related protein 10,1500000,1580000,1330000,4290000,4170000,4110000
156,ACTR1A,Alpha-centractin,5940000,4870000,5340000,26100000,25400000,16900000
157,ACTR1B,Actin related protein 1B,848000,802000,2230000,1760000,2960000,1390000
158,ACTR2,Actin related protein 2,75200000,71200000,69400000,49800000,5.80E+07,41500000
159,ACTR3,Actin-related protein 3,69900000,54600000,44600000,36600000,42800000,32300000
160,ACTR3,Actin-related protein 3,37100000,36200000,49300000,17900000,21100000,1.80E+07
161,ACTR3B,Actin-related protein 3B,0,291000,0,0,0,0
162,ACTR6,Actin related protein 6,0,0,0,0,0,0
163,ACVR1,Serine/threonine-protein kinase receptor,4440000,4810000,8380000,15200000,11400000,23700000
164,ACVR1B,Receptor protein serine/threonine kinase,2300000,3090000,0,4230000,4260000,6240000
165,ACVR1B,Receptor protein serine/threonine kinase,360000,283000,0,7160,237000,0
166,ACVR2A,Serine/threonine-protein kinase receptor,399000,571000,0,237000,255000,331000
167,ACYP1,Acylphosphatase,280000,176000,0,380000,0,720000
168,ACYP2,Acylphosphatase,445000,616000,424000,2270000,1880000,2220000
169,ADA,Adenosine deaminase,104000,0,0,1550000,1410000,1400000
170,ADA,Prostaglandin E synthase 3,0,0,6280000,13300000,12500000,0
171,ADA2,Haloacid dehalogenase like hydrolase domain containing 5,0,0,0,119000,239000,0
172,ADAM10,ADAM metallopeptidase domain 10,46200,0,0,0,124000,0
173,ADAM10,ADAM metallopeptidase domain 10,2040000,2720000,704000,1760000,2520000,1630000
174,ADAM10,Disintegrin and metalloproteinase domain-containing protein 10,1.78E+08,1.90E+08,2.51E+08,49800000,37100000,1.03E+08
175,ADAM15,ADAM metallopeptidase domain 15,202000,129000,3470000,0,4310000,785000
176,ADAM17,ADAM metallopeptidase domain 17,2820000,3340000,4280000,1.00E+07,5850000,14300000
177,ADAM28,ADAM metallopeptidase domain 28,971000,624000,1560000,0,0,0
178,ADAM33,ADAM metallopeptidase domain 33,514000,249000,1050000,0,0,0
179,ADAM9,A disintegrin and metallopeptidase domain 9,8590000,5630000,15200000,2490000,2190000,2940000
180,ADAMTS1,ADAM metallopeptidase with thrombospondin type 1 motif 1,195000,549000,0,451000,513000,0
181,ADAMTS5,ADAM metallopeptidase with thrombospondin type 1 motif 5,0,0,0,0,291000,0
182,ADAMTSL1,ADAMTS like 1,0,0,0,449000,406000,345000
183,ADAMTSL3,"SH3 domain containing GRB2 like 3, endophilin A3",906000,533000,601000,1070000,1010000,1070000
184,ADAP1,ArfGAP with dual PH domains 1,578000,536000,474000,0,0,432000
185,ADAR,Adenosine deaminase RNA specific,1060000,1070000,955000,685000,873000,271000
186,ADAR,Adenosine deaminase RNA specific,48000,0,0,0,0,0
187,ADAR,Adenosine deaminase RNA specific,121000,261000,64300,92100,104000,0
188,ADCY5,Adenylate cyclase type 5,1560000,2090000,1450000,871000,797000,616000
189,ADCY6,Adenylate cyclase type 6,648000,1030000,878000,0,74100,204000
190,ADCY7,Adenylate cyclase type 7,1470000,430000,0,1840000,2180000,2450000
191,ADCY9,Adenylate cyclase 9,0,0,0,2200000,2130000,3120000
192,ADD1,Adducin 1,1350000,1630000,0,18500000,11100000,15100000
193,ADD1,Adducin 1,1830000,2290000,1840000,12900000,11700000,13800000
194,ADD3,Adducin 3,443000,464000,973000,5280000,4720000,3920000
195,ADGRA3,Adhesion G protein-coupled receptor A3,0,0,0,464000,262000,286000
196,ADGRE5,Adhesion G protein-coupled receptor E5,6710000,5540000,5600000,16500000,17700000,24800000
197,ADGRF1,Adhesion G protein-coupled receptor F1,19600000,21100000,17200000,0,0,0
198,ADGRG1,Adhesion G-protein coupled receptor G1,6350000,3610000,4900000,19600000,18100000,32100000
199,ADGRG6,Adhesion G protein-coupled receptor G6,7510000,5350000,6290000,596000,1690000,1120000
200,ADGRL1,Adhesion G protein-coupled receptor L1,0,0,0,933000,667000,1410000
201,ADGRL2,Adhesion G protein-coupled receptor L2,0,0,0,3030000,2100000,4810000
202,ADH4,"Alcohol dehydrogenase 4 (class II), pi polypeptide",1580000,2280000,1600000,4740000,4840000,4080000
203,ADH5,S-(hydroxymethyl)glutathione dehydrogenase,1.20E+07,12500000,16900000,10500000,10500000,10400000
204,ADHFE1,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial",0,0,0,0,0,0
205,ADI1,Acireductone dioxygenase,14200000,11500000,13500000,17700000,1.40E+07,17100000
206,ADIRF,Adipogenesis regulatory factor,3130000,1820000,1590000,930000,1120000,1120000
207,ADK,Adenosine kinase,6560000,7920000,8380000,5830000,5750000,4670000
208,ADO,2-aminoethanethiol dioxygenase,1570000,1270000,1760000,2780000,2080000,2830000
209,ADPGK,ADP dependent glucokinase,704000,0,274000,868000,1930000,1150000
210,ADPRH,ADP-ribosylarginine hydrolase,765000,1050000,1820000,2040000,1740000,1360000
211,ADRA2A,Adrenoceptor alpha 2A,499000,312000,0,0,0,0
212,ADRA2A,Alpha-2A adrenergic receptor,0,0,0,858000,588000,1250000
213,ADRB2,Beta-2 adrenergic receptor,105000,0,0,0,0,0
214,ADRM1,ADRM1 26S proteasome ubiquitin receptor,1050000,1130000,0,3980000,4480000,0
215,ADSL,Adenylosuccinate lyase,3150000,3380000,3650000,6180000,6240000,5570000
216,ADSS1,Adenylosuccinate synthetase isozyme 1,99500,92700,0,0,313000,378000
217,ADSS1,Adenylosuccinate synthetase isozyme 2,593000,739000,0,502000,912000,86400
218,ADSS2,Adenylosuccinate synthetase isozyme 2,3760000,3470000,0,5390000,6990000,4850000
219,AFAP1,Actin filament associated protein 1,1940000,1600000,1100000,1560000,2720000,1180000
220,AFAP1L2,Actin filament associated protein 1 like 2,0,0,0,0,0,0
221,AFDN,Afadin,1560000,2180000,1560000,4620000,3650000,6170000
222,AFDN,Afadin,6630000,8180000,7440000,12300000,9590000,13800000
223,AFDN,Afadin,777000,1380000,3590000,2270000,1190000,2710000
224,AFF2,AF4/FMR2 family member 2,653000,938000,0,1160000,0,1030000
225,AFG1L,AFG1 like ATPase,0,0,0,0,0,0
226,AFG3L2,AFG3 like matrix AAA peptidase subunit 2,0,0,0,0,429000,0
227,AFG3L2,AFG3 like matrix AAA peptidase subunit 2,0,0,0,449000,498000,361000
228,AFM,Afamin,157000,0,1290000,234000,0,98500
229,AFMID,Kynurenine formamidase,0,0,0,0,0,0
230,AFP,Alpha-fetoprotein,2.10E+07,13500000,1.63E+08,34900000,23800000,24100000
231,AFTPH,Aftiphilin,0,0,0,0,141000,0
232,AGA,Aspartylglucosaminidase,246000,175000,0,238000,188000,213000
233,AGAP1,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",361000,505000,87000,126000,305000,148000
234,AGAP1,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3",224000,94800,0,79300,146000,84300
235,AGAP3,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3",544000,826000,754000,3100000,2790000,2080000
236,AGFG1,ArfGAP with FG repeats 1,1370000,1.00E+06,875000,1250000,1520000,1570000
237,AGFG2,ArfGAP with FG repeats 2,176000,408000,349000,634000,830000,1210000
238,AGK,"Acylglycerol kinase, mitochondrial",0,0,0,0,451000,0
239,AGL,Glycogen debranching enzyme,0,29000,0,0,579000,0
240,AGL,Glycogen debranching enzyme,471000,487000,949000,1790000,1870000,1210000
241,AGO1,Argonaute RISC catalytic component 3,662000,0,334000,917000,1410000,809000
242,AGO1,Argonaute RISC catalytic component 3,307000,0,0,0,577000,0
243,AGO1,Argonaute RISC component 1,459000,817000,0,1130000,1150000,1140000
244,AGO2,Argonaute RISC catalytic component 3,255000,130000,0,0,311000,0
245,AGO2,Protein argonaute-2,1540000,1870000,2640000,2280000,3300000,1870000
246,AGO4,Argonaute RISC catalytic component 3,0,0,0,529000,535000,0
247,AGPAT1,1-acyl-sn-glycerol-3-phosphate acyltransferase,0,1360000,0,770000,0,0
248,AGPAT2,1-acyl-sn-glycerol-3-phosphate acyltransferase,0,2030000,578000,2050000,2550000,3060000
249,AGPAT3,1-acylglycerol-3-phosphate O-acyltransferase 3,0,0,0,0,0,0
250,AGPAT4,1-acylglycerol-3-phosphate O-acyltransferase 4,72300,0,0,5030000,5370000,3810000
251,AGPAT5,1-acylglycerol-3-phosphate O-acyltransferase 5,0,0,0,0,0,0
252,AGPS,Alkylglycerone-phosphate synthase,0,0,0,661000,1010000,233000
253,AGR2,"Anterior gradient 2, protein disulphide isomerase family member",1610000,2990000,0,0,0,0
254,AGRN,Agrin,13700000,20900000,39300000,9530000,19200000,9150000
255,AGT,Angiotensinogen,0,990000,0,789000,0,1480000
256,AGTPBP1,Tubulin-glutamate carboxypeptidase,771000,1060000,0,0,0,0
257,AHCTF1,WD_REPEATS_REGION domain-containing protein,0,0,0,0,0,0
258,AHCY,Adenosylhomocysteinase,5300000,5070000,8960000,21500000,17800000,18700000
259,AHCYL1,Adenosylhomocysteinase like 1,5590000,3860000,5610000,9310000,10300000,9230000
260,AHCYL1,Adenosylhomocysteinase like 1,13500000,12600000,13300000,34900000,4.00E+07,31100000
261,AHCYL2,Adenosylhomocysteinase like 2,2380000,3950000,760000,5050000,5200000,5920000
262,AHNAK,AHNAK nucleoprotein,11600000,1.30E+07,18200000,23500000,15300000,27200000
263,AHNAK,AHNAK nucleoprotein,14300000,1.20E+07,10300000,11400000,2.20E+07,15100000
264,AHNAK,AHNAK nucleoprotein,1.19E+08,1.31E+08,1.64E+08,2.60E+08,1.81E+08,3.17E+08
265,AHNAK,AHNAK nucleoprotein,411000,345000,0,297000,508000,579000
266,AHNAK,Uncharacterized protein,3770000,4480000,5580000,7550000,8170000,12900000
267,AHR,Aryl hydrocarbon receptor,0,0,0,1420000,2.00E+06,803000
268,AHSA1,Activator of HSP90 ATPase activity 1,4090000,3720000,3940000,8210000,7750000,6860000
269,AHSG,Alpha-2-HS-glycoprotein,206000,2.00E+05,5080000,115000,426000,170000
270,AIDA,"Axin interactor, dorsalization associated",25700000,28300000,25200000,26800000,24400000,29400000
271,AIF1L,Allograft inflammatory factor 1 like,1310000,1110000,0,0,149000,0
272,AIFM1,Apoptosis inducing factor mitochondria associated 1,0,126000,2370000,601000,1640000,327000
273,AIFM2,Pyr_redox_2 domain-containing protein,2610000,2930000,894000,2500000,2720000,2650000
274,AIMP1,Aminoacyl tRNA synthetase complex interacting multifunctional protein 1,1330000,1390000,1750000,1960000,2850000,1470000
275,AIMP2,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2,918000,444000,0,1340000,4840000,1270000
276,AIP,Peptidylprolyl isomerase,1600000,1100000,956000,2340000,3620000,3050000
277,AJM1,Apical junction component 1 homolog,0,0,0,0,0,0
278,AJUBA,Ajuba LIM protein,3150000,3640000,3970000,722000,650000,873000
279,AK1,Adenylate kinase isoenzyme 1,14300000,11900000,9760000,57500000,49800000,46800000
280,AK2,"Adenylate kinase 2, mitochondrial",15500000,10200000,16300000,13100000,6940000,8250000
281,AK2,"Adenylate kinase 2, mitochondrial",2470000,698000,167000,733000,474000,551000
282,AK3,"GTP:AMP phosphotransferase AK3, mitochondrial",143000,0,0,0,525000,0
283,AK4,"Adenylate kinase 4, mitochondrial",401000,301000,0,1980000,3150000,894000
284,AK6,Adenylate kinase isoenzyme 6,0,0,0,271000,0,178000
285,AKAP1,A-kinase anchoring protein 1,0,0,0,0,0,0
286,AKAP10,A-kinase anchoring protein 10,72000,49700,181000,0,360000,113000
287,AKAP12,A-kinase anchoring protein 12,26600000,26600000,36300000,6690000,6080000,8690000
288,AKAP13,A-kinase anchoring protein 13,1170000,1.00E+06,519000,2210000,4060000,1830000
289,AKAP5,A-kinase anchoring protein 5,0,0,0,388000,0,407000
290,AKAP8,A-kinase anchor protein 8,0,0,0,0,0,0
291,AKAP9,A-kinase anchoring protein 9,0,0,2400000,0,0,0
292,AKR1B1,Aldo-keto reductase family 1 member B,1.60E+07,1.90E+07,25800000,29100000,23200000,30300000
293,AKR1D1,Aldo_ket_red domain-containing protein,0,0,468000,0,0,0
294,AKR1E2,Aldo-keto reductase family 1 member E2,3200000,2800000,3630000,0,1110000,1580000
295,AKR1E2,Aldo-keto reductase family 1 member E2,22400000,20400000,27200000,25900000,23300000,28600000
296,AKR7A2,Aldo_ket_red domain-containing protein,3040000,2780000,4.90E+07,2080000,1810000,2040000
297,AKT1,Non-specific serine/threonine protein kinase,1810000,2310000,2220000,3390000,3940000,3650000
298,AKT1,RAC-alpha serine/threonine-protein kinase,919000,1220000,1750000,1790000,1890000,1810000
299,AKT1,RAC-alpha serine/threonine-protein kinase,513000,947000,0,1540000,3080000,1900000
300,AKT1S1,AKT1 substrate 1,271000,167000,0,0,471000,0
301,AKT1S1,AKT1 substrate 1,0,0,0,1140000,313000,224000
302,AKT2,Non-specific serine/threonine protein kinase,552000,714000,1040000,2170000,1800000,2280000
303,AKT3,Non-specific serine/threonine protein kinase,41700,0,0,169000,223000,146000
304,AKTIP,AKT interacting protein,146000,0,151000,787000,1270000,397000
305,ALAD,Delta-aminolevulinic acid dehydratase,1640000,1450000,2380000,3050000,1490000,2700000
306,ALB,Albumin,263000,0,0,0,0,0
307,ALB,Albumin,74400000,62500000,5.34E+08,1.82E+08,1.04E+08,1.08E+08
308,ALCAM,CD166 antigen,0,0,0,4960000,3520000,7040000
309,ALCAM,CD166 antigen (Fragment),0,0,0,6110000,4360000,7520000
310,ALDH16A1,Aldehyde dehydrogenase 16 family member A1,1250000,1060000,1430000,2470000,3420000,2160000
311,ALDH18A1,Delta-1-pyrroline-5-carboxylate synthase,0,133000,0,391000,885000,0
312,ALDH1A1,Aldehyde dehydrogenase 1 family member A1,1.12E+08,1.26E+08,1.24E+08,8220000,9570000,6050000
313,ALDH1A1,Aldehyde dehydrogenase 1 family member A1,47800000,44900000,3.10E+07,4860000,5470000,3570000
314,ALDH1A1,Aldehyde dehydrogenase 1 family member A1,1.23E+08,1.60E+08,1.07E+08,15300000,21900000,7720000
315,ALDH1A3,Aldehyde dehydrogenase 1 family member A3,208000,92600,0,0,0,0
316,ALDH1A3,Aldehyde dehydrogenase 1 family member A3,95100,77900,0,0,204000,0
